Token,Frequency
maps,117
nyah,3
buat,210
lebih,189
detail,13
buruk,93
aplikasi,741
erorr,5
mulu,28
drivernya,280
ramah,566
baik,983
bagus,395
perlu,19
map,101
almt,1
google,21
tdk,54
pantau,4
jln,8
batua,2
raya,4
driver,1118
temu,20
sasar,1
sesuai,130
arah,20
konsumen,29
sangat,596
bantu,115
sekali,184
alhamdulillah,16
bapak,42
amanah,23
sehat,25
njeh,1
pak,60
moga,37
rezeki,11
makin,69
lancar,25
sukses,26
selalu,120
maxim,872
aplikasiatau,1
drivernyayg,1
main,19
ordersesuai,1
aplikasitp,1
stlah,1
nyampe,9
selesaidan,1
ubah,52
alamat,116
jemput,124
lokasi,108
tuju,151
dua,8
sama,280
isi,99
yg,524
satu,43
lokasikacaujd,1
g,24
melacakperjalanorang,1
bawadriver,1
takut,8
apa,140
pihat,2
maximbenahi,1
apliksinyaatau,1
jdi,30
coba,68
enak,56
bawa,69
nya,933
orang,153
nunggu,89
lama,243
konfirmasi,19
aja,263
terus,111
kali,163
gagal,12
gak,492
ngotak,6
customer,63
pagi,20
siang,6
sore,7
malam,19
udah,217
harga,206
murah,137
lo,15
murahin,1
rumah,37
gedong,2
elit,3
koret,1
gaya,5
ekonomi,4
sulit,37
brengsek,2
mau,486
naik,96
odong,2
jooss,2
mantap,275
dukung,3
ibu,21
kerupuk,8
palak,4
arogan,6
sih,71
saran,14
beri,41
fitur,50
rating,36
dong,88
kadang,43
sop,5
pakai,148
jaket,7
punya,43
uang,90
kembali,32
pernah,57
habis,23
bensin,11
tengah,15
jalan,169
jadi,250
telat,26
berangkat,12
kerja,70
gara,37
salah,72
baca,24
tulis,23
nyata,41
jauh,80
titik,164
maksud,7
biar,54
bayar,208
tunggu,82
nomor,97
aktifasi,1
error,51
castmar,1
otak,8
pasang,3
lw,1
oder,2
pijit,2
benar,41
kunci,2
cs,37
cansel,3
terima,187
kasih,240
top,85
hadir,3
memang,23
resah,4
krn,22
waktu,99
ogah,1
ambil,78
order,416
riwayat,6
jasa,16
transportasi,25
kasar,33
edukasi,4
utama,19
daerah,19
makassar,2
status,5
sedang,11
cari,149
sy,47
cancel,134
buru,27
lalu,30
tiba,115
banget,233
dapet,70
dah,43
jelas,159
loading,11
ngatangatain,1
lewat,41
chat,55
bahasa,4
kotor,6
bukan,59
cuman,28
waspada,1
banyak,234
oknumpenipuan,1
tipu,74
teror,2
aku,71
pihak,57
kode,160
otp,59
padahal,218
makasih,42
good,144
akun,77
tiap,25
trus,36
minta,217
masukmksdnya,1
nih,41
ribet,33
skali,4
on,5
time,6
sopan,105
dasar,9
tolol,50
ditungguin,2
gada,21
nerima,18
nolak,7
semua,56
gw,34
beli,24
perushaan,1
lu,17
pegang,3
lah,98
janji,6
dendam,3
usaha,20
tahun,9
bangkrut,4
saling,6
tolong,5
update,46
food,40
paket,17
instan,1
reguler,1
samday,1
kaya,36
tingkatin,4
jangan,77
ikut,12
contoh,10
grab,37
gojek,50
shopy,1
lalamove,1
cuma,61
bike,8
mohon,75
dengerlah,1
kau,16
kekmana,1
butuh,28
pas,143
hujan,33
kalau,121
tutup,23
apk,195
mending,55
pulak,2
mmatap,1
layan,274
oke,51
maaf,50
min,33
bintang,78
dulu,60
kalo,153
udh,99
ratingnya,1
karna,66
kok,62
ga,472
namain,2
masukin,24
nama,47
lengkap,25
tanggal,13
lahir,10
mencet,1
gabisa,53
gimana,56
kasi,36
respon,51
minnn,1
cara,27
atas,59
titij,1
app,19
jelek,97
muat,1
ulang,38
akhir,34
uninstal,10
trs,31
install,6
malah,263
masuk,217
verifikasi,48
sms,32
jadul,2
servernya,2
hrsnya,2
wa,21
via,15
tlp,13
mati,17
tlpnya,1
angkat,6
nieh,1
solusi,14
pusat,7
menu,18
ttp,21
hrs,4
login,131
terimakasih,139
kurang,112
akurat,35
guna,107
mudah,58
mahon,1
pa,5
gaje,2
ewallet,15
up,78
hedeh,1
tu,14
nakal,12
bgt,79
imbal,1
padhl,1
deket,18
nganter,8
barang,59
alesannya,3
kan,67
muter,12
dlu,12
mas,41
emg,7
gtu,6
klo,63
nganterin,5
mah,21
sendiri,65
jd,31
lipat,17
ny,47
seleksi,10
sering,130
lambat,33
kirim,82
bener,56
no,52
telp,10
sdh,29
sampe,72
terkadang,5
ditelp,1
cepat,160
nyaman,125
suoirnya,1
maximnya,12
kecewa,118
sekarang,56
pindah,16
ijo,13
si,52
belah,41
dapat,17
dri,24
perangkat,1
jangkau,18
hp,68
tinggal,32
dlm,9
mobil,151
hub,2
jaya,5
blokir,25
kuning,6
ugalan,15
jgn,16
dwonload,3
pake,167
walletmaxim,1
wallet,72
saldo,186
tp,92
gk,197
sungguh,5
aduh,2
gmana,3
inimsa,1
pesan,218
makan,116
loadinggak,1
bet,4
junaidi,1
plat,20
nomer,25
hyh,1
suruh,67
attitude,14
cewe,5
ngatain,3
nyupir,2
didatengin,2
marah,30
urus,6
nyaa,8
petaa,1
patok,5
peta,35
tambah,71
bingung,25
titika,1
diarahin,2
skrg,21
notifikasi,12
cuatomer,1
gj,2
gimna,6
alhasil,10
marahmarah,2
pdhal,8
sudh,1
tentu,14
nyasar,9
perhati,13
paling,32
nyusahin,10
driverkasian,1
tega,3
sm,18
carsdh,1
klik,18
jalantapi,1
ganti,51
smpai,2
x,37
rugi,80
bensinwaktu,1
mud,27
gooddriver,1
harge,1
indrivertapi,1
hanye,1
sahaje,1
susah,240
nak,4
driverkena,1
lameterimakasih,1
yee,1
maximvery,1
selesai,17
ngisi,17
kaspro,115
suka,108
muncul,46
pokoke,3
knp,14
nyantol,5
dibatalin,12
selamat,32
sosialisasi,4
scam,27
asu,2
luar,16
biasa,22
ssbenarnya,1
arti,5
promo,27
apaa,1
sihsy,1
mslh,3
dgn,32
cm,3
sesuaidiapliksi,1
da,5
otomatis,16
potong,67
taapi,1
byr,8
hrga,2
normaltolong,1
lg,33
cukup,22
kena,37
org,34
ba,2
berabe,1
percuma,19
ujung,12
dipakek,4
beda,57
biss,1
non,31
tunai,66
taxi,6
anyep,2
gegara,9
tumpang,80
lgi,18
eror,52
adriver,1
berhubunganminimal,1
bikin,74
prioritasujung,1
ktl,1
jan,2
cok,2
rata,10
masa,76
iya,18
ngk,10
datang,40
motor,58
apabila,2
erti,4
maxime,4
kemaren,4
apesss,1
hilang,25
handphone,2
lacak,6
supir,28
ngaku,1
yasudah,1
terlalu,45
paksa,17
download,38
pdhl,27
niat,30
semngat,1
twrus,1
bonus,8
dech,1
antar,67
telepon,12
lamban,1
ojek,42
bilang,43
nyalahin,3
bilangin,4
pribadi,9
sen,65
mepet,3
hak,5
atur,17
kapan,9
segala,6
aflikasi,1
kocak,14
kaga,13
kocakk,2
sampa,2
ngepasin,3
rb,104
tmbahan,1
krena,1
jarak,36
info,11
umur,3
hidup,5
pakek,8
lwbih,1
better,1
tips,7
y,10
jngan,1
d,83
target,1
gitu,39
kesanya,1
tadi,23
gopay,4
biaya,41
admin,25
api,1
cek,16
gamau,10
nambah,17
angkuh,2
emosi,15
sampah,18
dak,5
buka,63
batalin,30
makam,1
masalah,41
masak,10
hari,56
ngrefresh,1
sumpah,27
user,2
baiksangat,1
ramahsopan,4
nungguin,14
payah,29
wilayah,5
parepare,1
deliverynya,1
orderanmungkin,1
ongkos,46
yapadahal,1
jg,34
tingkat,27
ajar,12
mentang,4
sepelekantolong,1
eprbaiki,1
etika,9
hapus,20
playstore,2
gila,16
kagag,1
mnt,7
kapok,8
bandara,14
soekarno,2
hatta,1
mehong,1
byk,17
sanksi,3
mungkin,17
putus,6
mitra,28
kayak,32
ojol,36
tegas,7
gilir,24
tulisa,1
jumlah,10
lampau,9
notif,8
pemgemudi,1
aman,60
bego,8
sini,19
gabut,1
doang,21
knalpot,1
brong,1
stiker,4
modif,1
supirnya,15
paham,15
skrng,7
hati,49
muas,23
jam,95
kemudi,123
burikkkkkkkk,1
jaring,20
minuslambat,1
mana,64
lagisy,1
males,11
rada,2
soak,1
nemu,13
culas,3
naikin,13
duh,1
pengeurs,1
maxsim,15
tegasin,1
berkah,12
negur,1
loh,5
nyolot,6
ribut,8
mahalin,1
baapaknya,1
logout,6
gadikirim,1
atau,6
telpon,18
pertama,27
gunain,5
kata,68
aneh,69
laku,30
tetep,16
full,4
langsung,50
mo,5
cb,2
ngga,55
kek,22
edit,9
cekat,6
dpt,35
lngsng,3
wuuzzz,1
nyamle,1
bgus,4
pengenudinya,1
prioritas,8
soal,31
awal,53
make,14
kesini,11
mahal,52
ampe,9
km,16
apknya,10
santun,7
seblum,1
jga,8
foto,11
baikcuma,1
mesan,42
batal,85
kastamer,4
nyoba,7
simak,1
cakap,2
umum,6
area,14
bal,6
teman,8
alias,4
ras,3
hina,3
kalian,36
minus,5
developer,13
percaya,10
silah,1
balilihat,1
mes,21
rasa,16
adu,11
tindak,27
lanjut,17
tepat,50
kendara,44
tuh,31
busuk,11
kk,12
apps,2
internet,21
connection,1
worst,1
ever,1
sistemnyamasa,1
tarif,76
mengqadha,1
harganyakalau,1
sedikit,12
lambung,1
tinggi,13
ndk,1
alas,51
job,36
thank,6
u,3
sopandan,1
proses,8
laksana,14
dekat,43
lapor,18
sya,27
nyari,58
untung,27
sendri,3
dbayar,1
anterin,1
tempat,50
utk,18
tambahakan,1
costumer,12
support,3
keluh,15
burik,4
mapsnya,11
suram,1
daftar,70
aj,10
keburu,3
laper,2
gua,48
kg,5
ud,3
maki,10
sepele,3
anj,6
ajak,11
ngobrol,8
abang,35
okee,2
anjay,3
beres,2
sabar,26
macam,13
pepek,1
ngambil,15
gerak,6
menit,55
tak,31
ajg,2
plus,4
ketimbang,3
lain,10
delivery,23
posisi,15
terang,13
dg,16
senang,18
sekolah,19
garagara,3
usah,23
ngojek,5
pergi,14
ninggalin,1
dh,1
hampir,31
baru,97
apasih,2
jangancoba,1
pesanpijit,1
disinigara,1
pesanpijat,1
disinisya,1
rawat,2
dirs,1
nulis,2
apliksi,3
dikit,21
ko,12
minyak,1
penting,8
nian,1
dx,2
sengaja,14
ngasih,24
pontang,1
kerna,3
perotes,1
bobrok,3
ongkir,13
dr,30
sblmnya,1
unnistal,1
balik,13
berhatihatilah,1
bila,6
langgan,43
trbaik,1
parah,66
periksa,4
koneksi,3
kouta,2
kdang,1
pengantranya,1
evaluasi,4
keluarga,8
panjang,8
salam,3
kenal,4
puas,60
pokok,17
sumpahhhh,1
plisss,1
dering,2
ih,4
hapeku,1
nyala,5
batre,1
ku,17
kesel,19
ganggu,23
ramahbaik,2
bawah,8
ngaq,1
masukmasuk,2
pass,1
telor,3
gmna,7
ngorder,5
hancur,4
mu,10
kalok,3
gin,37
ngapain,4
ajatolong,1
anak,28
training,6
minimal,12
korban,2
pkoknya,1
sayaa,2
mesen,23
bpknta,1
sekaliterimakasih,1
ama,9
dalem,3
tas,3
sarung,1
hargane,1
jutaanhadeehhhudah,1
ngotot,5
lagi,4
supirne,1
kepake,4
maju,8
indonesia,13
kembang,9
tpi,24
masuktidak,1
voucher,9
tau,55
gmn,11
lot,15
bug,15
sinyal,10
baget,2
bersih,12
rapi,5
perfect,3
fast,3
slalu,13
alami,7
burukkkk,3
ngebatalin,2
gimanasaya,1
tibatiba,12
orderperbaiki,1
gi,1
deh,28
abal,5
nda,3
ad,21
sayamaxim,1
pilih,42
seksrang,1
samarinda,1
fiktif,21
lokasikarna,1
tanggung,12
jawan,1
gapernah,4
lenceng,1
beberapa,28
kemarin,14
malas,18
k,58
orglain,1
gatau,11
siapa,10
kabarin,1
sblm,3
otw,2
ak,2
komplen,4
ngmg,1
hhh,1
bye,3
bom,5
keranjang,2
skli,5
aplikasiga,1
live,2
service,8
senin,2
juli,4
e,21
penuh,29
keluar,36
alih,10
bagi,15
dana,17
kartu,2
buangbuang,1
kakak,6
rizkix,1
anggap,1
ngerjain,4
jempol,1
bina,3
aktif,18
suara,1
maupun,5
benerin,8
gx,4
ketemu,19
yah,20
bantuannyah,1
responnya,4
trimkasih,1
peyanan,1
cabul,5
nopol,37
gaff,1
anehsi,1
gbs,4
msk,5
pemberitahuan,9
stabil,3
pdahal,7
sosmed,2
data,16
adapaya,1
asik,10
bohong,10
jir,3
adminnya,4
seko,2
perak,5
galagi,1
trauma,10
dowload,3
grabgojek,7
orangnyacpat,1
sebal,3
doong,2
topup,14
kagak,7
trimakasi,2
kurir,15
bad,25
mantep,1
warga,1
simpan,2
maksa,7
kota,11
medan,6
sombong,20
patut,1
bicara,12
segi,7
cerita,8
knapa,4
mengunakan,4
dipranknunggu,1
nah,4
bsa,5
ongkirnya,5
gue,26
telah,1
oknum,15
keren,26
semangat,20
playanan,3
moh,1
alham,1
nur,1
motorcycle,22
warna,33
putih,11
ddxba,1
ramahtrim,1
moon,1
bincang,1
jaga,3
tatakramanya,1
saudara,2
perempuan,3
akibat,5
tanyatanya,1
pacar,6
dmn,2
lahdll,1
pokus,1
ngomong,4
wajar,6
bimbing,1
kaka,2
customerjngan,1
duit,23
perhatiin,1
raja,1
customerdriver,1
se,2
olah,1
chatnya,5
syahrani,1
toyota,6
avanza,6
hitam,8
dajv,1
hariandi,1
viky,1
firdaus,1
baif,1
nikmat,5
mantaap,3
very,6
nice,17
trima,14
ksih,4
bntuannya,1
entah,12
nemuin,2
koordinat,3
ditangerang,1
search,2
tangerang,2
depok,5
mb,1
diem,2
eh,31
nyaut,1
loginsaya,1
kasihmana,1
pulang,14
ken,8
cepetsampe,1
hadeuh,2
hadeuhhh,1
lagisaya,1
maximmau,1
donwload,1
kuota,6
burukkkkkkkk,1
porotin,1
melarat,1
ladenin,1
hnya,1
byar,3
cash,28
memghubungi,1
minat,1
blom,2
burukpemesann,1
sampai,3
devi,1
gusti,1
abg,7
masang,2
rubah,10
ulas,5
benerbener,1
cas,2
henti,4
tmpt,3
ada,17
bunyi,1
kt,2
ii,1
drevernya,2
jujur,26
ketingalan,1
orngnya,3
jelasmntak,1
tlpon,1
waktusmoga,1
sllu,6
sopir,30
galak,3
gtw,1
mantaptym,1
lokasiny,1
segera,20
hoaxxx,1
rbu,3
hdehhhh,1
to,2
car,45
transaksi,6
tq,3
sdah,1
online,27
sahabat,8
nominal,11
kecil,22
dulupeta,1
mapz,2
sagat,1
gede,6
woyyyyy,1
ngirit,1
jrg,1
kensel,2
fakyu,1
tera,15
ribu,36
perbaikisusah,1
bahaya,12
bodoh,7
direver,1
profesionalkalau,1
sikit,1
responpadahal,1
fee,3
jgk,1
lahgk,1
lgkalian,1
ni,26
jobs,4
bang,11
carger,1
opsi,11
spek,1
itel,1
p,1
nfc,1
ram,1
gb,1
ngak,13
brang,1
pulangin,1
mlh,4
komplain,8
kemna,1
yaa,18
susppen,1
tingkah,1
mengoder,1
kecuali,2
kdng,1
memberitahu,1
krna,18
mis,1
komunikasi,13
genit,2
gais,1
plis,2
denger,4
alam,23
temen,5
safety,3
tahan,6
bank,7
hadeh,6
topp,1
komennn,1
mna,2
tmpat,2
ngamuk,4
sip,3
smntara,1
blm,11
pintu,4
mhn,1
dprhtikan,1
siee,2
pakeeeee,2
ampun,17
dahh,1
curiga,3
ikbal,2
tandain,3
tangan,8
kosonghadi,1
sistem,43
costamer,1
bisa,10
rusak,14
dampar,1
cmn,5
padhal,3
ancam,7
ketus,3
ngerasa,2
sprti,4
jahat,2
ui,1
tarik,11
ux,1
cacat,4
layak,11
sarkas,1
pencet,8
tidaak,1
siap,9
tuduh,2
jahil,1
nipu,7
shop,3
pke,10
sakit,12
belikan,2
obat,2
log,21
in,21
tetap,50
bagaimana,13
servive,1
hasil,20
is,7
the,17
best,25
khusus,11
jelekburuktidak,1
akurattidak,1
mapburuk,1
sekalisupur,1
massnya,1
ramahh,2
telfon,4
dtk,1
terimaksih,1
berubahubah,1
transfaran,1
suah,1
raci,1
selau,1
deiver,1
gps,6
kacau,17
tino,1
ali,1
pecat,3
berhentikqn,1
syq,1
sbg,3
wah,4
skg,2
yahskg,1
banding,4
gocar,5
drive,6
ter,5
sigap,5
pm,1
auto,12
uninstall,18
akurasi,5
dalat,1
bs,14
hubung,23
batu,1
dateng,16
ghost,1
touch,1
pes,4
knpa,7
bekas,7
jakarta,5
langka,1
gajelas,20
kll,1
protes,3
ngangkut,1
bekerjasama,2
gausah,9
najis,6
kapoktakut,1
ugal,11
mikir,11
nyawa,2
laporin,1
tanggap,14
kenang,1
reting,3
drivermeminta,1
lebihatau,1
manfaat,14
komisi,2
xim,2
sengsara,3
nyamending,1
darah,3
kawan,1
work,1
it,6
argo,21
lapang,2
tip,10
balas,7
emang,29
engga,6
allah,4
jabbar,2
titenono,1
izin,6
swt,1
luncur,2
pangkal,3
pantas,4
amin,2
driper,3
guys,4
biasaa,1
pesnan,1
siy,1
belagu,3
pick,4
ancol,2
cileungsi,1
dket,1
bnyk,12
pelyanan,1
selaluaamiin,2
ungar,1
yaaaa,2
model,2
cancelnya,1
campreeet,1
kasihan,18
drivernyaaa,1
bodooooo,1
malesnnya,1
tolak,23
kait,4
nunggunya,2
jenuh,1
sii,1
uda,10
baguss,3
lamaa,2
bngtt,1
kalaw,1
bisaa,1
sihh,3
nentuin,4
alamatnyamapsnya,1
saku,1
brp,3
gprnh,1
nge,3
dev,2
grogol,1
utara,4
sedia,5
bogor,3
lol,5
mnding,2
selisih,5
usai,1
dtg,9
khususy,1
timika,2
sp,1
total,8
swiss,1
bell,1
lao,1
tujuanorderan,1
singgah,4
bentar,2
sk,1
kyak,1
profil,4
dikatain,1
hoax,5
gembel,1
wqgi,1
luarbiasa,1
nggk,5
nyuruh,4
kaki,6
yuris,1
gunawan,1
ab,1
sj,1
out,5
rute,25
buang,12
grand,1
lucky,1
plaza,1
senayan,1
harus,19
beer,1
garden,1
kiri,2
lurus,4
rutin,2
bulan,5
mogok,2
ramahcepat,3
abgnya,3
gacor,3
bg,9
mesum,3
whatsapp,7
darimana,1
privasi,1
jamin,4
baikdan,1
setir,1
arif,1
sultoni,1
f,1
fjk,1
aph,1
ketik,9
bayangin,2
fix,4
buntung,3
tuman,1
melulu,2
jing,3
worth,3
jajah,3
jual,18
atribut,4
bahkan,25
banyaklambat,1
laun,2
akab,1
permanen,2
bertahaplihatlah,1
sep,2
berfikiran,1
n,12
enjoy,1
nyesel,7
samsek,3
transfer,11
sana,8
cantum,7
haha,1
keong,1
lelet,12
wkwkwkwk,3
bapuk,1
bebek,2
bau,2
rokok,3
buset,4
payment,6
metode,5
nmr,2
tlpn,4
bnr,8
narik,7
narikaku,1
lok,3
gang,7
gaperna,1
gercep,5
aplg,1
kesana,3
butut,6
aq,4
sendal,2
lupa,3
swalow,1
kmbli,1
nggrutu,1
pk,3
jepit,1
pangasinan,1
parung,1
lawak,6
mls,1
rd,1
mangkel,1
termksh,1
riah,2
driveey,1
peethnkn,1
kak,10
soaly,1
desa,2
terbntu,2
adany,1
bntng,2
trmksh,1
orng,11
sngt,2
samping,2
hargay,1
kalang,2
miskin,2
tmksh,1
bpknya,2
jeput,1
langgar,3
begini,12
diupdate,4
realtime,2
debit,1
dicancel,7
batas,13
yagng,1
sam,1
saranin,2
penghuna,1
aplikator,8
binatang,3
sistemua,1
kiamat,2
bakal,12
kondisi,4
pantes,4
ngeluh,5
sepi,8
amuradul,1
gundul,1
tampil,8
seringkali,2
sadar,7
lalod,1
argonya,2
akal,6
etitud,2
tua,13
sopanin,1
sma,10
tegor,2
b,8
pzq,1
ribetnya,1
yang,1
berapa,15
les,1
this,2
nyagofood,1
hemat,8
lumayan,17
fungsi,4
sangatttttt,1
badd,1
keras,6
kalah,10
grabgojekshopefood,1
kaliiiii,1
hargaaaaa,1
tepok,1
pala,2
gaada,18
diapain,2
sandi,1
operator,3
anter,4
sumpahdrivernya,1
nyumpahin,1
musibah,1
abis,11
benci,2
walaupun,10
mampir,2
sebentar,3
toko,15
cuaca,1
teliti,3
jawab,20
bngt,17
genah,2
tawar,7
sekitar,4
cstmr,1
ky,2
poor,1
first,2
nyobain,1
opsional,1
kwatir,1
pasti,4
mertua,2
kosambi,1
kalideres,1
yatim,1
kristian,1
sandre,1
allorerung,1
biru,7
hijau,8
dpyd,1
kelam,1
kocakpas,1
kuatmacam,1
ini,1
hadehh,4
jos,2
ngacir,1
perdulibarang,1
belanja,11
bagasi,2
kuching,1
sarawakwaktu,1
turun,9
duduk,3
dalam,2
check,1
duli,2
milik,5
diadia,1
hotel,1
inap,1
really,1
lazy,1
dont,1
have,1
responsibilityso,1
anehh,2
malahh,1
panggil,10
hack,2
depan,17
gampang,8
kendaraanya,1
foodnya,1
per,3
drastis,1
konsisten,2
nongol,3
pelngan,1
bnyakan,1
draver,3
lbih,3
bik,1
tukang,8
korupsi,5
ngasi,1
digunain,4
anjg,2
bat,1
aduhh,1
bewan,1
epep,1
yok,1
ngeselin,2
profesional,11
sngat,9
asli,14
ditilep,1
rencana,3
bangetttt,1
baikkk,1
nyaaa,3
masyaallah,2
tenang,5
idam,1
bangettt,3
bayak,1
deteksi,10
banyakhabis,1
habishaduh,1
pusing,10
resto,3
biyar,1
teryata,1
bayr,1
meski,6
parkir,10
jang,1
ojolwarning,1
mehubungkan,1
gratis,8
staff,2
dipake,17
nontunai,11
coming,1
soon,2
hangus,3
minggu,12
sold,1
liat,20
platform,1
stock,1
elayananya,1
tujuansemangatt,1
masss,1
yaampun,1
susa,2
bangett,15
dibutuhin,1
banyakjazaakumullaahu,1
khoyron,1
ngebug,1
tukar,2
tombol,5
beban,3
bru,3
sangatt,4
sulitapalagi,1
kl,6
alamatsusah,1
dlitupun,1
dapatmsh,1
ngomongnya,1
toleransi,1
servis,1
orangx,1
rama,2
bukti,7
tf,16
email,7
lamaaa,3
ntah,3
asal,9
sayang,15
rp,12
ovo,1
nasihat,1
kesasar,4
tolok,1
tida,5
yaaparah,1
bca,2
lari,4
mobile,2
slnya,1
kompetitor,3
